id	label	prediction	aggressive_probability	non-aggressive_probability	text
29884		non-aggressive	0.025	0.975	HAPPY PI DAY Ps There is no pie emoji and I find this unacceptable
29885		non-aggressive	0.024	0.976	I could probably stick my fingers in a bucket of paint amp it would look better than when I sit down amp tediously try to paint my nails well 💅
29886		non-aggressive	0.182	0.818	If he only talks to you thru snap chat your not the only one lmao noevidence
29887		non-aggressive	0.068	0.932	hart2heart I got you Ill text you next week Yayyy
29888		non-aggressive	0.03	0.97	Tongues are so weirdly uncomfortable to look at
29889		non-aggressive	0.063	0.937	Lana weather 💖
29890		non-aggressive	0.031	0.969	Michael Madigan Backs State Rep He Once Had Expelled From Illinois House Politics makes for strange bedfellows httptcoFxmilEHUpP
29891		non-aggressive	0.065	0.935	Todays Weather Soak Up The Sun We like when Skilling says the words “surpass 50” a phrase we haven’t heard httptcoHVUOps4jhz
29892		non-aggressive	0.029	0.971	Its absolutely not too early to blast Summertime by DJ Jazzy Jeff and The Fresh Prince Not one bit😎
29893		non-aggressive	0.047	0.953	Extra Extra Illinois Budget Deficit Grows An annual state report places Illinois’ budget deficit now stands at httptcocOw0VsTRJ6
29894		non-aggressive	0.069	0.931	Thats your baby momma but her numbers in my iPhone
29895		non-aggressive	0.042	0.958	This drive to Antwerp  omg never again
29896		non-aggressive	0.11	0.89	I be wanting to talk to my og but ha lil ass irra
29897		non-aggressive	0.086	0.914	Coming Attractions Your Next Home Could Be In This Webbed Steel Building This super contemporary glass and s httptcoLoDiQs1NDz
29898		non-aggressive	0.071	0.929	Money and Hos
29899		non-aggressive	0.076	0.924	VIRGINS ARENT SCARED  THEY JUST NOT DUMB deaadasss 👏👏
29900		non-aggressive	0.049	0.951	First run of the year Woop
29901		non-aggressive	0.07	0.93	Wittle Nate 😩😍😂😂😂😂😂 NegroWitTheFro httptcoryXzDPQwoA
29902		non-aggressive	0.068	0.932	KyleAMcGuire youre too kind
29903		non-aggressive	0.279	0.721	HardlyHarleyMae damn youre lucky lmao im over this cold shit
29904		non-aggressive	0.08	0.92	Covers it all up httptco9YFcqc8ldp
29905		non-aggressive	0.077	0.923	“ManlyAsshole httptcohN8qT73FU2” lol BrittanySmi is this your life
29906		non-aggressive	0.091	0.909	You arent gonna ruin my weekend
29907		non-aggressive	0.061	0.939	Need sum rounds 💋🍆💦🙈👅🍑🏄
29908		non-aggressive	0.107	0.893	Get this cash then spark it up 😵🔥💨💨💨⛽️⛽️
29909		non-aggressive	0.057	0.943	I have the worst pain so Im complaining about everyone bc fuk everyone
29910		non-aggressive	0.065	0.935	“drunkgirlstrugs I loved you too much to ever just be friends with you again”
29911		non-aggressive	0.071	0.929	Im a sucker for great views httptcoWEXmCAcgpw
29912		non-aggressive	0.031	0.969	DaynTheMan naw g lol I was at work 😂😂😂😂💀💀💀💀
29913		non-aggressive	0.059	0.941	“jbagley419 CRAFT” Macaroni amp Cheese
29914		non-aggressive	0.054	0.946	Getting this preHouston tan  Under The Sun httptco8pQDzvohM3
29915		non-aggressive	0.032	0.968	ConnorMack5 I love it
29916		non-aggressive	0.099	0.901	everything that drowns me makes me wanna fly
29917		non-aggressive	0.057	0.943	IAmAGraham my favorite httptcoScizC5DbXq
29918		non-aggressive	0.025	0.975	It feel so good outside 😁
29919		non-aggressive	0.156	0.844	My bitch game is real today
29920		non-aggressive	0.047	0.953	Sick of this
29921		non-aggressive	0.056	0.944	Spring break made me more broke then I already am
29922		non-aggressive	0.173	0.827	LaurenLovely just say you dont wanna go
29923		non-aggressive	0.035	0.965	JessieBullitt good one lol
29924		non-aggressive	0.115	0.885	Where feet may fail and fear surrounds me Youve never failed and You wont start now
29925		non-aggressive	0.108	0.892	Lol dont judge me 😜
29926		non-aggressive	0.043	0.957	About to board my flight Hopefully Liam Neeson is aboard to save me in case anything happens
29927		non-aggressive	0.043	0.957	i dip my fries in vanilla icecream judge me
29928		non-aggressive	0.055	0.945	all u lil mother fuckers have fun on ur sb trips I say that in the most sincere way too
29929		non-aggressive	0.077	0.923	JasmineRosaayyy rat body
29930		non-aggressive	0.041	0.959	“ThatBucketList Before I die i want to httptcouu2DXrtYrK” or hand sanitizer 😏Tiffffannnyyyy
29931		non-aggressive	0.389	0.611	If you see em point em if you see em point em out theres a bad bitch in here
29932		non-aggressive	0.041	0.959	Seriously can not wait to see gracek4ski and MommaRay81910 tomorrow
29933		non-aggressive	0.055	0.945	This wind is killer
29934		non-aggressive	0.043	0.957	dylanobrien youre my biggest inspiration Everyone RT this so he can see it please httptco9FyppWn5dW
29935		non-aggressive	0.018	0.982	CrossFitGames  had a potential employer wish me good luck on 143 after we set up an interview CrossFit CrossFitOpen2014
29936		non-aggressive	0.057	0.943	itsaddicting thanks
29937		non-aggressive	0.099	0.901	melissasova You better MOVE you better DAYUNCE
29938		non-aggressive	0.257	0.743	HalfBakedAlways I dont like your picture
29939		non-aggressive	0.076	0.924	GrangerStefanko JTerry33 if we all split it we might be able to afford it
29940		non-aggressive	0.075	0.925	Hope they get my drawings FifthHarmony camilacabello97 dinahjane97 NormaniKordei LaurenJauregui AllyBrooke
29941		non-aggressive	0.06	0.94	All that I know is your space is empty It’s buried below It still hasn’t left me
29942		non-aggressive	0.075	0.925	STL aint got nothing good but the Cardinals They aint even got a basketball team Several seats lol 😂😂
29943		non-aggressive	0.044	0.956	I think about sex all the time 😒
29944		non-aggressive	0.134	0.866	SeanHolst13 still your point is invalid because yall too struggled to put away weak competition they woulda won had dude not taken that
29945		non-aggressive	0.022	0.978	Maybe the wolf is in love with the moon and each month it cries for a love it will never touch
29946		non-aggressive	0.099	0.901	Face down booty up 😏
29947		non-aggressive	0.03	0.97	therealbossdj I miss my brother omg
29948		non-aggressive	0.047	0.953	I am FINALLY going for a run outside ❤️
29949		non-aggressive	0.068	0.932	Guys how did our mcchicken obsession even start jessicaschram rachelholland achamp25
29950		non-aggressive	0.043	0.957	My mind is racing
29951		non-aggressive	0.131	0.869	Hearing all these cool as car driving loud down the road am not being able to join in with my loud ass car sucks
29952		non-aggressive	0.082	0.918	Dajrich7 all lies
29953		non-aggressive	0.084	0.916	JenniferH96 love ya Jen Prayers sent your way
29954		non-aggressive	0.129	0.871	CAUSE THESE TWEETS ARE MY DIARY SCREAMING OUT LOUD amp I KNO THAT YOULL USE THEM HOWEVER YOU WANT TO
29955		non-aggressive	0.141	0.859	This nigga is unbearably lame 😒
29956		non-aggressive	0.05	0.95	yaaaaas so happy⚽️🎉
29957		non-aggressive	0.07	0.93	Finally scoots is out yeaaah httptcoXr7SorHtDo
29958		non-aggressive	0.093	0.907	Pitt Bench looking like they lost already
29959		non-aggressive	0.02	0.98	Literally forgot it was piday until 11 Forgot to make a pie   but tonight is the pi k run with FleetFeetChgo  314 miles is a lot
29960		non-aggressive	0.029	0.971	To move Mercedes constantly from house to house isnt very stable Shes 6 She needs a stable house home
29961		non-aggressive	0.051	0.949	I drew them on their NLT outfits
29962		non-aggressive	0.041	0.959	Selfie wit my MainMan while waitn in line  Hollywood Auto Spa httptcoOUrgzMt3m0
29963		non-aggressive	0.155	0.845	you dont need water to feel like youre drowning
29964		non-aggressive	0.062	0.938	Its been a long week Ive been missin me some youuu 🎶
29965		non-aggressive	0.051	0.949	jbagley419 yup cant wait Yup go blue
29966		non-aggressive	0.063	0.937	Forgot how much walking sucks
29967		non-aggressive	0.103	0.897	“LifeAsBros Caring too much only fucks you over” RT
29968		non-aggressive	0.097	0.903	ScHoolBoyQ I heard you were on an all organic diet if you know what I mean
29969		non-aggressive	0.031	0.969	Only good out of STL is Leslie Yeezy and The malls Lol
29970		non-aggressive	0.05	0.95	HockeyHick40 Reminiscing about the amount of intelligence in our family Definitely a completely inaccurate statement This is true
29971		non-aggressive	0.043	0.957	Free pizza is the best pizza yo
29972		non-aggressive	0.035	0.965	SeanHolst13 horrible shot at the end of the shot clock and called time out or something
29973		non-aggressive	0.019	0.981	Nice to come in from the fieldgood chat with the boss at Motorola Mobility httptcoEOic0RaN3M
29974		non-aggressive	0.024	0.976	Got my Phone Back 😒😒 whats the move today
29975		non-aggressive	0.019	0.981	Rode shotgun with my boy today  Lets just say he had to get used to the H3
29976		non-aggressive	0.089	0.911	Pour it up reminds me of Nice Nights 😂
29977		non-aggressive	0.041	0.959	Do we have ACT Saturday school tomorrow
29978		non-aggressive	0.092	0.908	achamp25 jessicaschram rachelholland me either
29979		non-aggressive	0.068	0.932	heaven httptco5gPWdiUwS3
29980		non-aggressive	0.057	0.943	24 hrs would be enough to make magic ✨🌟😊☺️
29981		non-aggressive	0.044	0.956	Do anything for my man 💕
29982		non-aggressive	0.052	0.948	Boom Smoke Cops Fire department Building shook Chicago
29983		non-aggressive	0.034	0.966	spiceadams doing the Glo Run this year Following you on IG is the only reason I know about it
29984		non-aggressive	0.024	0.976	SeanHolst13 11 conference wins is good bro
29985		non-aggressive	0.026	0.974	ChaisAlin413 plannin on pullin a no life tonight and playing all night lol
29986		non-aggressive	0.025	0.975	I talk to so many business related people now that I just said that I need contact my friend Emily Meaning text her whats up Wow
29987		non-aggressive	0.081	0.919	I just dont want to be a disappointment anymore
29988		non-aggressive	0.032	0.968	DaynTheMan lmao I wish I would have to wear a damn id in college especially one like that
29989		non-aggressive	0.042	0.958	This weather needs to never go away ilovespring ☀️🌺
29990		non-aggressive	0.045	0.955	Chicago Chicago Ill show you around I love it chicago theloop lovingthislife thebluesbaby … httptcodc0FdwSGXb
29991		non-aggressive	0.033	0.967	Spring like temps  no winter hat and wind in my hair
29992		non-aggressive	0.039	0.961	“BiebersShawtie I LOVE LaurieBea1” luv ya more
29993		non-aggressive	0.01	0.99	Listening to benrector on my way to EvansvilleCant help but think of my good friend JanahJames  Another concert soon goodtimes
29994		non-aggressive	0.032	0.968	Talk dirty to me is stuck in my head So many memories
29995		non-aggressive	0.106	0.894	“BlushingKittens Wow my twitter account is worth 1609 😭😭” wtfffff sell that shit
29996		non-aggressive	0.034	0.966	I need to go out by myself before I face Tuesday
29997		non-aggressive	0.045	0.955	Heading to BubbaGumpShrimpCo at NavyPier 🍤🍤🍤🍤🍤
29998		non-aggressive	0.096	0.904	Apparently theres a humongous picture of me playing tennis in the Applebees in Okemos
29999		non-aggressive	0.134	0.866	jcufaude Be cultlike about your assns core values BLI14
30000		non-aggressive	0.107	0.893	KriebKong everything sounds cooler when you say yo after it Factyo
30001		non-aggressive	0.052	0.948	SO to everyone at SXSW Keep making moves It will happen 🙌
30002		non-aggressive	0.079	0.921	kil0g0d What fool
30003		non-aggressive	0.018	0.982	TheaMidnight I believe I am 1st on the list
30004		non-aggressive	0.041	0.959	I Think I Stretched My Jacket
30005		non-aggressive	0.154	0.846	I cant stand you
30006		non-aggressive	0.028	0.972	What Ill be reading on my flight to LA  Chicago Midway International Airport MDW httptcoSNp6WBK00b
30007		non-aggressive	0.033	0.967	Seriously wanna drive my car with the top down and windows down and music blarin but I cant Thanks mom
30008		non-aggressive	0.031	0.969	I miss my twin 👫 httptcooaIbDqicBo
30009		non-aggressive	0.042	0.958	“tyrabanks May or may not have just runway walked while crossing the street…” micahcorso
30010		non-aggressive	0.157	0.843	We dont love these hoes😒🙏
30011		non-aggressive	0.126	0.874	People Gonna Be Stunting With Their Boost iPhone 📱 httptcoFDNAeSseph
30012		non-aggressive	0.02	0.98	The things I do for my grandpa leave the house when Im sick ugh
30013		non-aggressive	0.054	0.946	arianasiconic may I be the first to say DAMN GIRL CALM YO TITS clingy httptcozMl72ib03y
30014		non-aggressive	0.03	0.97	So tired but I cant just sit here Gotta get up and go to the gym
30015		non-aggressive	0.024	0.976	Church or no church I still love God Regardless 😍😘😌😛😪👌👀👏💨🙏🙌☝️✊👊
30016		non-aggressive	0.133	0.867	Youre making her live with your ex girlfriend
30017		non-aggressive	0.078	0.922	Shady
30018		non-aggressive	0.03	0.97	My friend Michelle started todays walk down memory lane circa 1997  flashbackfriday snowflakeparty… httptcomIWSNdbCCW
30019		non-aggressive	0.114	0.886	Im not cocky Im beyond that
30020		non-aggressive	0.072	0.928	jenreiff1 yeah right 💁
30021		non-aggressive	0.064	0.936	The turn up next weekend is gonna be so real
30022		non-aggressive	0.012	0.988	Home opener for IlliniSoftball vs WMU  Highlights at 6 amp 10 on wcia3 httptcoePQN1Nih1Y
30023		non-aggressive	0.029	0.971	I use to think sex amp the city was porn 😂😂😂😩🔫💯👌😍😘😏😉
30024		non-aggressive	0.053	0.947	Can a pair of pants ever not be to long on me or with this be a lifelong struggle shortgirlproblems sickoftheshit
30025		non-aggressive	0.033	0.967	GreggyBennett I love you today
30026		non-aggressive	0.054	0.946	Put in work first
30027		non-aggressive	0.1	0.9	I dont discriminate money is money
30028		non-aggressive	0.041	0.959	I love Paul Weibinga more than life jordanwiebs
30029		non-aggressive	0.048	0.952	SeanHolst13 just saying yall coulda lost to Illinois today if they could finish
30030		non-aggressive	0.061	0.939	Lets get physical lol PITTvsNC
30031		non-aggressive	0.019	0.981	A new dark favorite  Milk Stout  Thanks for intro Ben  Blackfinn  Chicago River North w 3 others pic httptcohMopjc7qt1
30032		non-aggressive	0.042	0.958	SixDos man Im 66 Shid we see eye to eye almost
30033		non-aggressive	0.08	0.92	mattmutmed which B12 does not belong
30034		non-aggressive	0.063	0.937	North Carolina with them powder blues on though 😱
30035		non-aggressive	0.062	0.938	OduyaUnchained someone reporting this
30036		non-aggressive	0.072	0.928	DirtyB9 thought about it
30037		non-aggressive	0.069	0.931	“dnwhit SuperrStarr your dad taught him well😋” haha this is true 😁
30038		non-aggressive	0.043	0.957	Drinking a Daisy Cutter Pale Ale by halfacrebeer at halfacrebeer — httptcoT9DVI3DZg9
30039		non-aggressive	0.134	0.866	BLI14ABABarServices jcufaude Be cultlike about your assns core values BLI14
30040		non-aggressive	0.056	0.944	I feel so old seeing little freshmen get off the bus
30041		non-aggressive	0.033	0.967	I got mad at my English teacher today because she was wearing Toms ImAVansTypeOfGirl
30042		non-aggressive	0.367	0.633	ScHoolBoyQ AyyooDaniel you know Q likes dat Gospel shit bruh
30043		non-aggressive	0.077	0.923	IN A MERE FEW HOURS LIBBY WILL BE HERE 💕✨💕🙏 noturbae420
30044		non-aggressive	0.069	0.931	Ewnah MizzTwerksum Yall would eat lobster mashed potatoes 😒 httptcoAUvfHMnjVB
30045		non-aggressive	0.051	0.949	mitchgrassi for all the haters  httptcoaap88RsLvm
30046		non-aggressive	0.047	0.953	I aint baby sitting shots that day lol
30047		non-aggressive	0.047	0.953	I just want a real freak to meet me in da middle amp make a mess at errthing 😂💦🙈🙉💀
30048		non-aggressive	0.055	0.945	Queenkelss bae I missed you today 😭😩💖
30049		non-aggressive	0.225	0.775	This mf wind gone blow my Lil ass away
30050		non-aggressive	0.082	0.918	Im not sure if Im more excited to celebrate Saint Pattys tomorrow or more excited that Dimos will follow loveofmylife
30051		non-aggressive	0.087	0.913	that message made me smile☺️☺️
30052		non-aggressive	0.226	0.774	What can you offer me other that Dick and a headache
30053		non-aggressive	0.068	0.932	martamr9 ForeignExStu httptco4aapjZw2oq this just hits me
30054		non-aggressive	0.03	0.97	Just came from manny on the west side
30055		non-aggressive	0.03	0.97	nbaliva well yeah But Iowa is in We already know that
30056		non-aggressive	0.072	0.928	Gorgeous 😍😍😍 “BeautyBeyondBee Own it httptcoO1pROeX2WP”
30057		non-aggressive	0.132	0.868	Story of my fucking life
30058		non-aggressive	0.034	0.966	Next week on IMPACTWRESTLING it will be fightbobby vs EthanCarterTNA Bobby Lashleys first match back since being in MMA
30059		non-aggressive	0.046	0.954	alexahoth best feeling ever
30060		non-aggressive	0.053	0.947	When in doubt watch dumb and dumber
30061		non-aggressive	0.017	0.983	No matter how many cons we go to I still look at the Doctor Who crowd and think nerds
30062		non-aggressive	0.07	0.93	IBeGoingCrazyLikeThis🍆🚼💦💯😊 httptcoSTL2Q2vcUP
30063		non-aggressive	0.063	0.937	🌞 to celebrate this 50 degree weather take your clothes off take a shot and take in that vitamin D 🌞
30064		non-aggressive	0.07	0.93	Horchata  Energy httptcodRsIQn6Nrv
30065		non-aggressive	0.046	0.954	“htograham Sullivan Daily Times reports the 7school WIC could add 5 teams April 17 N Put S Put Gcastle Cloverdale Cascade”
30066		non-aggressive	0.041	0.959	Whats the mood can I tell the truth
30067		non-aggressive	0.061	0.939	Spend this beautiful day with beautiful people ✌️
30068		non-aggressive	0.042	0.958	My gut feeling about things never does me wrong Its usually right
30069		non-aggressive	0.052	0.948	The guy next to me on the bus has a lock screen of purple pigeons cuddling WTF
30070		non-aggressive	0.023	0.977	Hardest thing about food photography is staring at food all day but not being able to taste it Its… httptcoIIYEmpmc4M
30071		non-aggressive	0.068	0.932	JBarry05 should still get in
30072		non-aggressive	0.079	0.921	drae19 whatever shut up
30073		non-aggressive	0.035	0.965	WillyWosby and I have the best conversations
30074		non-aggressive	0.032	0.968	Im at US Post Office Chicago IL httptco3DZZmQSzSS
30075		non-aggressive	0.031	0.969	I marvel at the power enlightening
30076		non-aggressive	0.03	0.97	I am buying the Frozen bluray next week
30077		non-aggressive	0.035	0.965	And so it begins 🇪🇸🇮🇹🇫🇷  Chicago OHare International Airport ORD httptcoRji9Ze88qt
30078		non-aggressive	0.098	0.902	Someone please dont make me stay at work all day
30079		non-aggressive	0.053	0.947	Today bout to pop
30080		non-aggressive	0.031	0.969	Red velvet cheesecake at Magnolia Bakery Chicago after my audition
30081		non-aggressive	0.046	0.954	I want froyo
30082		non-aggressive	0.028	0.972	“willdub88 As my friend PhilFriend would say Squeaky bum time for Nebraska” Things are tight now
30083		non-aggressive	0.065	0.935	Finna cut my line off  Thats all I needed to see B
30084		non-aggressive	0.052	0.948	happy bears for signing Tillman
30085		non-aggressive	0.074	0.926	papadosio you have to hit the boardwalk Mandatory
30086		non-aggressive	0.029	0.971	Im at CrownePlaza Metro Chicago IL pic httptcoQeFKR2MFNk
30087		non-aggressive	0.173	0.827	I be finessing the shit out these 12 to 14 hr shiftsmy checks be reading BLESSED
30088		non-aggressive	0.08	0.92	LMFAOOOO FR RT“emilybbie “ChavisAintShit Lol most mexican girls asses be shaping like bar soaps”LMAOOOOO😂”
30089		non-aggressive	0.052	0.948	Having fun In the woods httptcoxiIYMslq2v
30090		non-aggressive	0.192	0.808	achamp25 Im an independent women who dont need no man😏 you go girl
30091		non-aggressive	0.067	0.933	Hi there Welcome to Claires Bachelor Bar
30092		non-aggressive	0.136	0.864	Somebody hook me up with them kd that comes out tomorrow
30093		non-aggressive	0.071	0.929	I just want cool friends who do cool things and who get cool drunk and we dont have to worry cause were so cool
30094		non-aggressive	0.076	0.924	Dont mind if I do ChiTown St Pattys Day weekend begins httptcoaBg4IkD3N7
30095		non-aggressive	0.112	0.888	Im Single  you single so wassup why we playing games
30096		non-aggressive	0.031	0.969	This ones for you Matt amp Snowy Thats an iced chocolate tea latte Oh yeah at ArgoTea w 4 others pic httptcoVYiV9P5h7f
30097		non-aggressive	0.022	0.978	I need some advice on Hawaii Which island to visit
30098		non-aggressive	0.03	0.97	I just got hit with a snowball Come on its March Grow up lol
30099		non-aggressive	0.049	0.951	ChaisAlin413 haha alright gotta get my hair did then ill probably be on
30100		non-aggressive	0.091	0.909	Marcus paige is a beast
30101		non-aggressive	0.054	0.946	This girl name is Dormisha Lol like what Was she conceived in the dorm rooms lol
30102		non-aggressive	0.051	0.949	Yes we resigned Tillman for one more year hallelujah
30103		non-aggressive	0.084	0.916	Quick stop after a week of stress snow and rock n roll  Buffalo Wild Wings  bwwings httptcoIUcjKTaJoR
30104		non-aggressive	0.092	0.908	leemuuus You going to the dance😊
30105		non-aggressive	0.011	0.989	Flash back Friday Only 1 week of knowing my baby 😍 NiceNights ah memories feel like we look SO different httptcoicJYNhn9HR
30106		non-aggressive	0.021	0.979	Ill never understand why Americans are so quick to dismiss atrocities committed by police officers and even act in their defense Puzzling
30107		non-aggressive	0.107	0.893	Someone pick me up and Ill buy you some 😁😁
30108		non-aggressive	0.043	0.957	Trying so hard to get all this work done before the parade tomorrow allisonwessel 💚🍀 httptcoaGfTysJjYT
30109		non-aggressive	0.03	0.97	Traveling across the country with nothing but the clothes on my back
30110		non-aggressive	0.076	0.924	I just wanna be successful
30111		non-aggressive	0.03	0.97	Congrats to my hyongmoney on getting her first big girl job Im so proud of you
30112		non-aggressive	0.078	0.922	Im at Loves Travel Stop Sparta KY httptcoYBCQIfVn3Q
30113		non-aggressive	0.068	0.932	countryboy7477 Im still thinking about it lol and it IS a great question
30114		non-aggressive	0.03	0.97	WANTED intelligent ochem loving individual willing to look exactly like me to take my exam next Friday March 21 at 245 pm 🆘
30115		non-aggressive	0.023	0.977	Another Friday night invasion by yours truly tonight 🚨 this week REHAB heavyhitters remyv ohboy … httptcoPDGugNaHPF
30116		non-aggressive	0.04	0.96	Drinking a Double Daisy Cutter Pale Ale by halfacrebeer at halfacrebeer — httptcoveg7JboyZV photo
30117		non-aggressive	0.058	0.942	I didnt end this you did
30118		non-aggressive	0.037	0.963	Feeling really good rn 😎😎
30119		non-aggressive	0.14	0.86	jruzicka94 who are you celebrating with😂😂
30120		non-aggressive	0.018	0.982	Thank god for lovelym92 fixing my hair 😍 shes the best
30121		non-aggressive	0.063	0.937	NoHipsLilAss whts wrong
30122		non-aggressive	0.195	0.805	You always say youre over me but you always end up under me
30123		non-aggressive	0.025	0.975	This is so not my store  But whatever Shopping here anyway  Whole Foods Market w 2 others httptcogi3aTPR2W4
30124		non-aggressive	0.07	0.93	YESSSS httptcobj25TcimvG
30125		non-aggressive	0.102	0.898	Going to see Black Dahlia with MajesticLion does that count“FriendlyAssh0le rt if ur doing hoodrat things tonight with ur friends”
30126		non-aggressive	0.059	0.941	Levels To This Chick 👑💁 Designer Frames httptcoy7jyBMlzfj
30127		non-aggressive	0.076	0.924	achamp25 jessicaschram rachelholland tbh I hated them before habd and now they are life
30128		non-aggressive	0.067	0.933	where are all these followers coming from hello
30129		non-aggressive	0.042	0.958	leannecorkey ramonasinger We all need to know who Joni is My pleasure
30130		non-aggressive	0.089	0.911	People are still wearing toms
30131		non-aggressive	0.398	0.602	Depression can really fuck with you
30132		non-aggressive	0.017	0.983	httptcoM1UBcna7qa 16 year old autistic girl singing the national anthem I had the chills from head to toe wow
30133		non-aggressive	0.086	0.914	Never realized how smelly boys can get
30134		non-aggressive	0.091	0.909	Every nights a bar battle joesbrewery wemeanbusiness
30135		non-aggressive	0.057	0.943	we may fight but i dont know what id do without my sister 💕
30136		non-aggressive	0.037	0.963	I would give anything to not feel like death right now
30137		non-aggressive	0.076	0.924	TasiaAlexisss god damn youre perfect 😍
30138		non-aggressive	0.036	0.964	I miss the Cavy 😔
30139		non-aggressive	0.037	0.963	Now snag Melton and peppers for small deals and we r back wishful
30140		non-aggressive	0.03	0.97	Im here all day and all night Come by and say hi  Irish EyesPub httptco8PCW9XP0UM
30141		non-aggressive	0.023	0.977	Bag pipes in Chicago Back to NYC early tomorrow to catch bonnies  The Gage httptcoQErJ8eNDRO
30142		non-aggressive	0.041	0.959	“BIakeWisdom it’s never too late to make things right”
30143		non-aggressive	0.074	0.926	My most embarrassing snap somehow ended up in my story 🙈🙈🙈 kill me
30144		non-aggressive	0.036	0.964	I need to go do some work why Im playing
30145		non-aggressive	0.053	0.947	Eddie B hyped as hell for the meet EdQuartoCinco45 httptcojH6rjyLaNE
30146		non-aggressive	0.115	0.885	I WILL PAY YOU TAKE YOU OUT TO EAT GIVE YOU A NEW PAIR OF SHOES 🆘🆘🆘
30147		non-aggressive	0.045	0.955	Potbelly amazing tuna salad sandwich I have to get one for later too 😋 httptcoO5Dai0MBJO
30148		non-aggressive	0.115	0.885	You can smoke weed 💨👌 amp be a successful educated person 😂😘😍☺😘😘😘😌😊👌💪💃
30149		non-aggressive	0.06	0.94	Cute Or Whatever 💁 httptcoKt0prYWWQ2
30150		non-aggressive	0.034	0.966	JustJared Jennifer Lopez  I Luh Ya Papi Music Video  WATCH NOW So hot jlo httptco4brcv0VxDq mind is blowwwn TeamJLo
30151		non-aggressive	0.105	0.895	jruzicka94 dude thats a little weird
30152		non-aggressive	0.037	0.963	I really hope I have sufficient clothes at home
30153		non-aggressive	0.083	0.917	frankieenyart I honestly can not even wait ☀️🌻
30154		non-aggressive	0.086	0.914	You cant go out because youre about to leave for a week HAHAHAHAHAH NO
30155		non-aggressive	0.031	0.969	My goal while my sister is here feed her as much good food as possible  autumnrobards collegeprobs homecookedmeals
30156		non-aggressive	0.044	0.956	Finally I can sleep tonite Thank God above peanuttillman is still a Bear whew BearDown
30157		non-aggressive	0.033	0.967	Oh yeah its been 2 weeks
30158		non-aggressive	0.052	0.948	Our NCAAB insider ItsNotHarvard breaks down the Contenders vs Pretenders in the NCAATournament httptcooHVCtrpEYY
30159		non-aggressive	0.053	0.947	Together me allyson and rach consumed 15 mcchickens yesterday
30160		non-aggressive	0.064	0.936	JChapmani65 I couldnt make it Im having car troubles httptcoyoujW7kuNp
30161		non-aggressive	0.017	0.983	Wow I havent listened to Mac Miller in forever I forgot how much I love him
30162		non-aggressive	0.157	0.843	On da phone amp shit 😳
30163		non-aggressive	0.014	0.986	My sister just said she misses the Tv shows from the 90s she was born in 2001 Alright Brooke
30164		non-aggressive	0.335	0.665	Mann this aint even worth nobody worth me fucking up my plan 👑
30165		non-aggressive	0.057	0.943	That was a bad idea
30166		non-aggressive	0.057	0.943	The Bears have resigned peanuttillman
30167		non-aggressive	0.034	0.966	Charter one pavilion at northerly island is hands down my favorite venue of all time
30168		non-aggressive	0.034	0.966	why is this bus ride so bumpy omg
30169		non-aggressive	0.043	0.957	Sage Octagon Mirror  no14034 in Roscoe Village Chicago Illinois via krrbsale httptcounLfOXPW9v
30170		non-aggressive	0.034	0.966	50 degrees in Illinois 😊🍧
30171		non-aggressive	0.062	0.938	Man my digestive system is having an off day
30172		non-aggressive	0.097	0.903	That would put you at 67 👀SixDos Old picture but these were 5in httptcolS4BJkCtKe
30173		non-aggressive	0.04	0.96	HalfBakedAlways yes lol  The other gun picture was cute though  😋
30174		non-aggressive	0.047	0.953	meganvandagens honored to have played for that woman 🙌
30175		non-aggressive	0.061	0.939	Woah UNC came back
30176		non-aggressive	0.062	0.938	johntheMANtia thanks head
30177		non-aggressive	0.122	0.878	Sucks  I gotta leave my niggas cause I gotta work
30178		non-aggressive	0.028	0.972	Im at Joffrey Academy Of Dance Chicago IL httptcoHIB0tfYCMc
30179		non-aggressive	0.038	0.962	On the road to Peoria with KeepItOneYanna and NerdBoiErrey 😍😍 httptcoKbL8k9Fp6p
30180		non-aggressive	0.033	0.967	“whitesox Paulie takes a break between atbats in a minor league game today httptcofOCUo9cBql”  Such a flattering angle lol
30181		non-aggressive	0.043	0.957	Breckenridge distillery tasting 47  Binnys Beverage Depot  binnysbev httptcokHIluFfO1N
30182		non-aggressive	0.057	0.943	Swartz does regular foia of cta board members and has been pleasantly surprised with results cccsoc foiafest14
30183		non-aggressive	0.047	0.953	BaxFootballGuru Thanks will be in touch soon
30184		non-aggressive	0.053	0.947	10 out of 10ed that Genetics Quiz HYFR FeelingGOOD TGIF
30185		non-aggressive	0.027	0.973	Iced Blue 9Drawer Dresser  no14026 in Roscoe Village Chicago Illinois via krrbsale httptcozbs2osP7rs
30186		non-aggressive	0.067	0.933	We were turninnnn up too  💔
30187		non-aggressive	0.05	0.95	AdamBudney not together I hope
30188		non-aggressive	0.044	0.956	Left the rest of my food at the crib how goofy am n Im hungry
30189		non-aggressive	0.036	0.964	Omg Normani waved back at me today NormaniKordei
30190		non-aggressive	0.127	0.873	Man If yall dont retweet this Lol 🙌 httptcoEMp1BrCswR
30191		non-aggressive	0.033	0.967	12 more days till my gloday 🎁🎋🎉🎊
30192		non-aggressive	0.038	0.962	I feel like the cops are coming frfr
30193		non-aggressive	0.03	0.97	Just found a snickers in my car Score
