id	label	prediction	aggressive_probability	non-aggressive_probability	text
27847		non-aggressive	0.061	0.939	Is it possible to be addicted to watching Like Crazy when youre lonely
27848		non-aggressive	0.055	0.945	this is going to be the most boring weekend for me
27849		non-aggressive	0.061	0.939	Daisy love me😴😴
27850		non-aggressive	0.039	0.961	“kaylinduritsch I immediately miss my boyfriend when he leaves”
27851		non-aggressive	0.181	0.819	I could give af about a friendship honestly Im old enough to realize your friends arent really your friends
27852		non-aggressive	0.112	0.888	Im a realist and realisticallyIm not seeing this
27853		non-aggressive	0.031	0.969	“X3KrystalX3 The perks of working w a Jewish man is great Jewish humor httptcotNCFstZXgc” 😂 thanks i needed that laugh 😂😂😂😂😂😂😂😂😂😂
27854		non-aggressive	0.034	0.966	someoje on my timeline so cuuuteeee and can pull off short hair hey😏
27855		aggressive	0.517	0.483	A bitch dont hit you up all summer and she talking i miss you ✋
27856		non-aggressive	0.113	0.887	When all you wanna do is talk to that one person❤️
27857		non-aggressive	0.066	0.934	Seasons changing means Allergies ltltltltltltltltlt
27858		non-aggressive	0.07	0.93	Where theres a will theres a way
27859		non-aggressive	0.125	0.875	Im kind of mad at my self for still hanging out with you
27860		non-aggressive	0.158	0.842	The Rain Song with live strings is coming You cant stop me JayZawaski670 TributosaurusZeppelin
27861		non-aggressive	0.151	0.849	PrestonMcNab3 VukajFrank figure your life out little girl
27862		non-aggressive	0.04	0.96	NaatLiveLovexo Haha Im your 100th Follower I feel special 😊☺️
27863		non-aggressive	0.035	0.965	KonkkShell lmfao I meant start Ive only watched the first episode
27864		non-aggressive	0.043	0.957	IssyGorgeous I try lol
27865		non-aggressive	0.209	0.791	Making brownies w Erin and they look like actual shit so YUM 😍💩
27866		non-aggressive	0.051	0.949	I shoulda just bought a northface
27867		non-aggressive	0.176	0.824	Dont even think about ever texting me again Pos 👋
27868		non-aggressive	0.071	0.929	So ready to get off wrk
27869		non-aggressive	0.085	0.915	I hate when they throw water at shows
27870		non-aggressive	0.227	0.773	FloydMayweather holding up a stack of money 💵💵💵💵 probably telling JLeonLove its your if you can stop Biosse Lol
27871		non-aggressive	0.019	0.981	Lol I love snapchatting men what is this httptcofNG59gyI48
27872		non-aggressive	0.106	0.894	Youre irreplaceable a collectable just like fiiiiiiiiiiiine chinaaaaa
27873		non-aggressive	0.036	0.964	megamanrulez wish I was there to break some noses
27874		non-aggressive	0.123	0.877	Ima smoke this joint then Ima break you off
27875		non-aggressive	0.063	0.937	I hope Im not misinterpreted
27876		non-aggressive	0.03	0.97	Now I dont have to do anything with the CHS athletic department for 4 weeks vaca
27877		non-aggressive	0.054	0.946	Where do I find a girl that looks like this bartender Damn 😍 Chicago
27878		non-aggressive	0.059	0.941	dgaEric cpk2899 RobJohnsonCBS2 OF course happpppy Birthhhhhday
27879		non-aggressive	0.03	0.97	Finally watching glee I missed this💕 it always makes me so happy and makes me forget everything that happened this week
27880		non-aggressive	0.071	0.929	Ive been eating nothing but pizza lately Imma get fat 🍑
27881		non-aggressive	0.071	0.929	ReneeAugustyn come see me soon
27882		non-aggressive	0.045	0.955	SoftballPrep with Humberto amp yeahh  youre last year at Dunham right
27883		non-aggressive	0.02	0.98	At one of my bars that I know serves free popcorn Enter March straight to popcorn THEN order beer dating
27884		non-aggressive	0.059	0.941	jtvic99 youre the cutest darn thing
27885		non-aggressive	0.06	0.94	New coat Thoughts x httptcofLhmQIYi2N
27886		non-aggressive	0.04	0.96	2v2 rt 5 3v3 Rt 6 4v4 10 GBYouuHaLL WeedMlg KennyKrayola RReckful ConvicttFA  Rapidityy TourneyTracker
27887		non-aggressive	0.076	0.924	lexxissol Lmfaoo what
27888		non-aggressive	0.042	0.958	SkaterAdeLG 💯💯💯 im the biggest pac fan i know if anything i am the reincarnation of pac lmfao
27889		non-aggressive	0.114	0.886	antoniocastro they gave dude ass 6 months 😂😂 httptcofwwb8OveVl
27890		non-aggressive	0.106	0.894	Emotional people get really annoying after a while
27891		non-aggressive	0.078	0.922	G wtf😒😳
27892		non-aggressive	0.239	0.761	LITTERALLY DO I LIKE YOU LIKE I DONT EVEN KNOW ANYMORE
27893		non-aggressive	0.09	0.91	alexsalgado7 It was but not sure if they took it off because I seen a season but last year
27894		non-aggressive	0.051	0.949	perfect night ☺️👌
27895		non-aggressive	0.22	0.78	tell that bitch to eat eat
27896		non-aggressive	0.036	0.964	78Jonas78 haha dying laughing right now
27897		non-aggressive	0.079	0.921	jamalrob5 coolin roll up
27898		non-aggressive	0.039	0.961	Hahahah what are the chances this would happen My life🙈😂
27899		non-aggressive	0.013	0.987	NCISNEEDSCOTE1 must warn it its very violent But Hes so good in it You ignore all the bad stuff at least I did
27900		non-aggressive	0.033	0.967	EVERYONE LOOK AT MY TWEET QUICK BFORE I DEKETE IT hehaw
27901		non-aggressive	0.029	0.971	Jordans gt Supras Am i right or am i right Lol
27902		non-aggressive	0.205	0.795	Not doing shit for anyone anymore
27903		non-aggressive	0.039	0.961	No one can I deny it your love so sweet🎧
27904		non-aggressive	0.018	0.982	Wish I was at Stray From The Path instead of at work
27905		non-aggressive	0.052	0.948	Mark it in the history books my brother went out with friends
27906		non-aggressive	0.082	0.918	amp get to da tequila 🍹
27907		non-aggressive	0.126	0.874	I s2g if we dont find this gum tonight Im finna hit ur liquids
27908		non-aggressive	0.197	0.803	All I have to say is none of you bitches are doing better things then me in my lifetime so hate if youd like you will never be me ✋👏
27909		non-aggressive	0.058	0.942	erinlynnrostad passed out on me while trying to pick a first dance song Guess Im in charge Bootey bootey bootey bootey rockin everywhere
27910		non-aggressive	0.099	0.901	lexxissol no I meant like why dont you guys have school is it a special day or
27911		non-aggressive	0.058	0.942	My mood latelyltltlt 😞
27912		non-aggressive	0.057	0.943	DurkinsTavern consider yourself an extension of southside bars on east Carson pittsburgh
27913		non-aggressive	0.081	0.919	it seem like all people do is smoke and drink now 😒
27914		non-aggressive	0.018	0.982	Attending Gripin band night in their UStour at ElboRoomIl w 9 others httptcoetMuxlVVcA
27915		non-aggressive	0.112	0.888	jcjacque401 god bless your soul child
27916		non-aggressive	0.027	0.973	didnt go to the gym to party amp the party gets popped off 😩✋dafuck
27917		non-aggressive	0.022	0.978	99 days to the weddingtreatyoself to dinner shellyfromshaws We got KingCrab crabcrake… httptcoxL82Ntzilf
27918		non-aggressive	0.062	0.938	Tired amp all
27919		non-aggressive	0.05	0.95	This is not going to be good
27920		non-aggressive	0.073	0.927	So weareempires is totally Boomtown Rats meets U2 while fucking The Killers Not bad
27921		non-aggressive	0.048	0.952	Girl Im TrueBoyKen Hell Yea I Do The Most 💯😈
27922		non-aggressive	0.06	0.94	BeverlyBigelow most love that attention by getting videoed or pic taken when sex involved but they dont realize itll get on the Internet
27923		aggressive	0.962	0.038	clynnx33 quit fuckin wit not shit niggas an bitches Fuck with a real nigga You got my number get on it Haha Jk  Love
27924		non-aggressive	0.212	0.788	lexxissol thats what Im talking about wtf u talking about Lmfaoo
27925		non-aggressive	0.036	0.964	I need to learn to relax
27926		non-aggressive	0.037	0.963	I wish I could just scrape all the black off of my lungs and pretend Ive never smoked before and just keep redoing it
27927		non-aggressive	0.027	0.973	I just love when I put my hair up wet and then take it down at night and it still smells like heaven 😊☺️🙌😍❤️
27928		non-aggressive	0.039	0.961	Ready to drive up to Indy around 7 am and put in work😎
27929		non-aggressive	0.104	0.896	Ion even care
27930		non-aggressive	0.07	0.93	thisisawkward
27931		non-aggressive	0.052	0.948	so sleepy 😴
27932		non-aggressive	0.062	0.938	Nationals40 thanks man
27933		non-aggressive	0.027	0.973	Long day today time to chill
27934		non-aggressive	0.031	0.969	I love him ❤👌😊
27935		non-aggressive	0.082	0.918	MILLERtimee12 hey can you text me I gotta ask you something 7086748022
27936		non-aggressive	0.048	0.952	Fuk up go I dnt lyke yew
27937		non-aggressive	0.356	0.644	Why people gotta smoke dem stakin ass cigarettes Eeww You not outside
27938		non-aggressive	0.037	0.963	I cannot wait till tomorrow with my bestie and boyfrand Stevo890 theball2014 diamonds balls hotelmotelholidayinn
27939		non-aggressive	0.05	0.95	This mix from Folsom cold as hell 😎✊
27940		non-aggressive	0.036	0.964	I seriously dont want to go to detention tomorrow
27941		non-aggressive	0.054	0.946	my twins  babies simsfreeplay httptcowNo6xaHWQT
27942		non-aggressive	0.041	0.959	The Schaefers are ready for tomorrow StadiumSeries Penguins httptcoFvWLhHgAqu
27943		non-aggressive	0.343	0.657	Favoriting that shit aint gettin us nowhere 😅
27944		non-aggressive	0.05	0.95	GEO7GE every time I see you on my timeline httptco9sGHU9t0ng
27945		non-aggressive	0.077	0.923	feefee1999 add me back
27946		non-aggressive	0.126	0.874	“iLikeSickDrops Retweet if youre ready for ULTRA 🔊🙌🔊 httpstcoh0IlwQM6od” dat ass at the beginning
27947		non-aggressive	0.097	0.903	Talk stoopid off witcha head
27948		aggressive	0.647	0.353	“cheerbeauty Shit bitch you is fine” Thx u 2 bae 😘
27949		non-aggressive	0.075	0.925	All yall love yall some me
27950		non-aggressive	0.032	0.968	I love Jons snapchats JonNorstrom
27951		non-aggressive	0.115	0.885	dumbcouch makes me wanna die
27952		non-aggressive	0.063	0.937	PrestonMcNab3 VukajFrank thanks Preston means a lot
27953		non-aggressive	0.029	0.971	My birthday is one month from tomorrow💃💥🎉🍻
27954		non-aggressive	0.069	0.931	PrincessKaate You know Im not good at this
27955		non-aggressive	0.078	0.922	LEAVE ME ALONE DAD
27956		non-aggressive	0.088	0.912	“RoandRomeda SWEETBUNZ lmao u look nice gurl ”lmaooooo you should have said that first Jk thank you booooooo😘😘
27957		non-aggressive	0.12	0.88	Sometimes the grey is worse What shade of grey Who cares Perhaps the black and white is simply the raw you are human Unite people
27958		non-aggressive	0.066	0.934	Goodnight Twitter ✌️
27959		non-aggressive	0.037	0.963	Judges playing together and killing it at the Collegiate Jazz Festival  Washington Hall httptcogyM5P9lOWY
27960		non-aggressive	0.057	0.943	Jamming to sum Imagine Dragons
27961		non-aggressive	0.015	0.985	80s90s music is the best era of music No lie
27962		non-aggressive	0.043	0.957	Im at Walmart Supercenter  walmarthub Avon IN httptcoHY6WgMsHAD
27963		non-aggressive	0.049	0.951	Never been so hungry
27964		non-aggressive	0.063	0.937	That was real cute
27965		non-aggressive	0.064	0.936	laurenAshWhite can I get a follow Back
27966		non-aggressive	0.252	0.748	niggas love playin tough thru these two things ➡️📱💻
27967		non-aggressive	0.059	0.941	Just here  Sports Corner httptcoBQnwkwpt3G
27968		non-aggressive	0.067	0.933	You cant choose bits and pieces of the Bible to Believe The Word of God is All true and will always be true
27969		non-aggressive	0.06	0.94	Beginning the RoadTrip
27970		non-aggressive	0.086	0.914	JayZawaski670 If youd only let me draft what I wanted
27971		non-aggressive	0.08	0.92	CarMelTWIX2 she thin she cuite
27972		non-aggressive	0.05	0.95	Its peanut butter jelly time
27973		non-aggressive	0.037	0.963	I told them they didnt even need to come Surprise I was on the phone with the operator you okay Told her Im holding a 10 in machete
27974		non-aggressive	0.098	0.902	Jewl makes me happy
27975		non-aggressive	0.038	0.962	amp 3 Peat
27976		non-aggressive	0.034	0.966	“stover12 PayThePrys ohmyJosh30 dont feel so bad rank”  1030😎
27977		non-aggressive	0.02	0.98	“Mariaaahh It feels good having Makayla as my chauffeur ✊” Yesss all the way to howell tomorrow😘
27978		non-aggressive	0.029	0.971	I need snapchat friends 😑 no one ever snaps back 🔫🔫🔫
27979		non-aggressive	0.403	0.597	Homies like Love me u bitch httptcobakwdNqKIm
27980		non-aggressive	0.024	0.976	Why I need his millis when I got billy on the speed dial
27981		non-aggressive	0.062	0.938	STATE 💧💧🏊  BRING IT HOME iSeaton97  😁😘
27982		non-aggressive	0.196	0.804	Chassie ass lying She knew the drill
27983		non-aggressive	0.081	0.919	“quintongeeter it seem like all people do is smoke and drink now 😒” 😕
27984		non-aggressive	0.061	0.939	CamAndNashNewVideo CamAndNashNewVideo CamAndNashNewVideo CameronDallas CameronDallas Nashgrier Nashgrier ❤️❤️❤️❤️
27985		non-aggressive	0.102	0.898	MirandaaaEisert did you get that cardigan from Charlotte ruse
27986		non-aggressive	0.059	0.941	Hopefully Ill run into PortableShua around mb when Im home to show him shawntigue twitter
27987		non-aggressive	0.018	0.982	Movie night  AMC Loews 600 North Michigan 9  amctheatres for NonStop w 8 others httptcoWvjZNK8B40
27988		non-aggressive	0.061	0.939	dennisstrach With and also for I like that
27989		non-aggressive	0.438	0.562	yeah bitch yeah bitch call me stevo
27990		non-aggressive	0.064	0.936	Eat Sleep Do cool stuff Repeat
27991		non-aggressive	0.022	0.978	I literally have no words to describe this night
27992		non-aggressive	0.049	0.951	I need a drank 🍸
27993		non-aggressive	0.067	0.933	SJOBismarckHenning and MORE coming up next wcia3 httptcog6nq2YqzUK
27994		non-aggressive	0.137	0.863	dont favorite my tweet fagggggottttt  ur ugly  😏
27995		non-aggressive	0.048	0.952	Describes us perfectly Love this girl more than anything ☺️😘 schmidtmk5  Sigma Chi Fraternity … httptcoC951PWu5hE
27996		non-aggressive	0.066	0.934	xoxlysssa LMFAO DEAD
27997		non-aggressive	0.06	0.94	Im seriously so happy with life right now ☺️
27998		non-aggressive	0.04	0.96	Really enjoyed the new thenewcolony show at Steppenwolf Garage Well played yall
27999		non-aggressive	0.087	0.913	made the mistake of asking a group of country guys if theyre into pearl jam
28000		non-aggressive	0.204	0.796	Fuck it 😒
28001		non-aggressive	0.063	0.937	The way music gets me ♥
28002		non-aggressive	0.035	0.965	Talking on the phone is so much better than texting
28003		non-aggressive	0.051	0.949	gerlacherr wait but it gets better httptcotuApugvbgr
28004		non-aggressive	0.074	0.926	Nowhere else Id rather be
28005		non-aggressive	0.034	0.966	Attending Gripin band night in their UStour at Elbo Room — httpstcoWBlMu7I5sr
28006		non-aggressive	0.095	0.905	Hey Ashley Im sleeping over here
28007		non-aggressive	0.03	0.97	“AshKetchum151 Pokemon is coming to netflix tomorrow    Goodbye real world hello Pokemon world httptcorSjHRnBdaV” wow Great lmao
28008		non-aggressive	0.096	0.904	Not even sure why I try to give people second chances History always repeats itself
28009		non-aggressive	0.042	0.958	Ive watched every single Tinker Bell movie on netflix isthatweird
28010		non-aggressive	0.04	0.96	I guess thats just the motion
28011		non-aggressive	0.043	0.957	Lol Kobe unfollowed all his Laker teammates on Twitter He is done with them
28012		non-aggressive	0.07	0.93	Peaceful
28013		non-aggressive	0.043	0.957	90s RampB 90s grunge rock 🙌
28014		non-aggressive	0.039	0.961	Love my bestfriend httptcoG7PTrq0WRp
28015		non-aggressive	0.071	0.929	KalCB Same Now
28016		non-aggressive	0.094	0.906	Im tryna see the light but the devils tryna blind me 💨🌿🍁 xogrkbabe530xo  Granville amp Sheridan httptcoGuBvU4FxJx
28017		non-aggressive	0.223	0.777	g night bitch whores 😇💤
28018		non-aggressive	0.155	0.845	It feels good when youre recognized for your hard work and people say that you deserve a promotion feelinggood letmegetthatpromo menards
28019		non-aggressive	0.027	0.973	The kids at DePaul are so rich its ridiculous
28020		non-aggressive	0.024	0.976	Staying in tonight so Ill be watching every reality tv show there is lol tired
28021		non-aggressive	0.035	0.965	Some preliminary wedding suit shopping suitsupply is probably my new favorite place ever … httptcoSnjzUP7NHE
28022		non-aggressive	0.058	0.942	AlexisKiesel hush it Youre literally the nicest person Ive ever met amp everyone would agree A few more hours and your bad day is over
28023		non-aggressive	0.14	0.86	I love talking shit
28024		non-aggressive	0.036	0.964	VolunteerJunkie Im sobbing over some delicious hamachi for the failures of 354 Wolverine
28025		non-aggressive	0.05	0.95	Epic speech by Commander Shepard ruined by parent coming into room justno
28026		non-aggressive	0.051	0.949	Tonight was hella
28027		non-aggressive	0.046	0.954	“XTrillette 1120 RIP Nate 😘🙏”
28028		non-aggressive	0.095	0.905	“OhHeWantsTheP I dont care how old I am Hold my shoes httptcoCZ9v67Ysxo” need need need need need need need need need need need 😍
28029		non-aggressive	0.065	0.935	“TypicalMinions everyones out partying amp Im just at home like httptcoMS6lOuKuqu QueenKaylyn this is Asia
28030		non-aggressive	0.029	0.971	Good game to the Fighting Irish😄🍀
28031		non-aggressive	0.03	0.97	itsinthehole13 treedolanburns lol I didnt know
28032		non-aggressive	0.019	0.981	Could not think of anything but my dad all night  Boy do I miss him  😭
28033		non-aggressive	0.117	0.883	httptco4afFnTvYA5 for all you lovers out there PandasRave
28034		non-aggressive	0.062	0.938	PaypaPlanesOrNa lol Ill take that as a compliment and because you never texted me about dinner and I was hungry
28035		non-aggressive	0.064	0.936	Montes de Oca vs Navarete now Should be fun rather even fight
28036		non-aggressive	0.034	0.966	Chillin in dillons room   Fist time for everything   pumped
28037		non-aggressive	0.051	0.949	CoachForsythe Awesome Thanks
28038		non-aggressive	0.05	0.95	Why is there a paper clip in Michael Jordans ear spacejam2014
28039		non-aggressive	0.047	0.953	Anatomy of a spring break trip 🌄  The Babe Cave httptco7emz20ASFL
28040		non-aggressive	0.038	0.962	Cornhead has 3 bfs wtf
28041		non-aggressive	0.035	0.965	The boys did good
28042		non-aggressive	0.143	0.857	Tbh I dont care about anything at all anymore
28043		non-aggressive	0.047	0.953	i wish alyssa wouldve came 😢
28044		aggressive	0.608	0.392	Take dat shit outside amp Idgaf how cold it is u dont care about giving me second hand Movearound
28045		non-aggressive	0.043	0.957	Round of 👏 everyone the eagle has landed robertpatrol
28046		non-aggressive	0.232	0.768	Gonna be pissing bitches off tomorrow with SupaStarr17
28047		non-aggressive	0.188	0.812	Heaad hurt amp shit
28048		non-aggressive	0.095	0.905	Not even me lmao
28049		non-aggressive	0.034	0.966	I should probably start thinking about doing my taxes Or do I pay someone to do them for me OpportunityCost
28050		non-aggressive	0.087	0.913	×B A S I C AL L Y× JessieTaughtMe httptcoCCrhOzVmeq
28051		non-aggressive	0.031	0.969	Dinner fridaynight fun chicago love  Mercadito Chicago httptcoSwSuiLJnU9
28052		non-aggressive	0.047	0.953	Eating cake and drinking jugo de mora and tweeting while watching AngelicaAtondoAuriSalgadoJorgeBarbosaUni 🍹🍰 unichicago multitasker
28053		non-aggressive	0.085	0.915	Dreams are imagined ampinspired into action in the space between your breaths dream yoga qigong prayer meditate httptcoGYJrA4oJOc
28054		non-aggressive	0.035	0.965	“iRealFrankOcean I love sleep You forget about pain problems stress everything for a while”👌
28055		non-aggressive	0.027	0.973	I was driving so fast I had tunnel vision
28056		non-aggressive	0.106	0.894	Mind your business 😂✋😫💯
28057		non-aggressive	0.048	0.952	i dont think my brother ever listens to anybody lol terrible child
28058		non-aggressive	0.233	0.767	Dont act like Im a fool
28059		non-aggressive	0.054	0.946	This fight belongs in Cicero
28060		non-aggressive	0.083	0.917	jenellelamond1 Jenelle your Aunt doesnt know what the heck i as m doing
28061		non-aggressive	0.067	0.933	Birthday noshing with rachway  EL Ideas httptcoyXbaX8PTJR
28062		non-aggressive	0.162	0.838	I wont take you later if you dont want me now
28063		non-aggressive	0.075	0.925	My chest hurts and i cant stop coughing
28064		non-aggressive	0.029	0.971	Guy meijer told me this product didnt have any sale tags I almost had to cut him with that little clue knife httptcotIj3s6Cwed
28065		non-aggressive	0.102	0.898	MirandaaaEisert does it have a hood If it does I just got the same one
28066		non-aggressive	0.066	0.934	Allie was hiding behind a wall that whole interview so that was funny
28067		non-aggressive	0.07	0.93	Hopefully they win next game😄
28068		non-aggressive	0.06	0.94	SoftballPrep I bet 😭 amp I might not play this year If I do its like part time travel
28069		non-aggressive	0.169	0.831	I will never have kids Because i wouldnt want them to hate me and i dont want them to feel like they let me down
28070		non-aggressive	0.047	0.953	Its just not the same
28071		non-aggressive	0.049	0.951	calebnorth43 I thought I did
28072		non-aggressive	0.092	0.908	sniff sniff were you guys smoking  uh no
28073		non-aggressive	0.019	0.981	By August LaurenKrzisnik and I will have seen 5SOS live 3 times 😝
28074		non-aggressive	0.104	0.896	Bro youre dead to me because family is everything BYE
28075		non-aggressive	0.081	0.919	Shonnie think she gettin dis case back😂😑😒😂
28076		non-aggressive	0.018	0.982	I grew up too quick in Chicago at 21 events at the age 16 now Im 20 and dont even want to party no more
28077		non-aggressive	0.031	0.969	Hella in my feelings Thanks Tink
28078		non-aggressive	0.149	0.851	And they kill your paycheck
28079		non-aggressive	0.08	0.92	senatorstar12 😊😊 he knows me too well
28080		non-aggressive	0.037	0.963	Gaaawwwddd I miss summer 😭😭😭 httptco1BQkFXE1k2
28081		non-aggressive	0.061	0.939	Smoke a blunt now Im back at it
28082		non-aggressive	0.044	0.956	“TheRealJoeyA I cant watch the Knicks They are an embarrassment to the NBA ByeMelo”
28083		non-aggressive	0.022	0.978	Elephants by crookedvultures is simply too good to press skip
28084		non-aggressive	0.085	0.915	taydew826 smashleyyy1290 kablegirl18 soo excited to see mah bitches ✌️
28085		non-aggressive	0.103	0.897	jayyyoooo 😂😂 now you know youlove Boosie
28086		non-aggressive	0.296	0.704	Im Rick James bitch 😂
28087		non-aggressive	0.046	0.954	Weve glorified our differences under the guise of individuality in attempt to accept differences when we cant even face our similarities
28088		non-aggressive	0.033	0.967	Im at Wind Turbine 34 httptcownuu1i3WBr
28089		non-aggressive	0.066	0.934	ANorthGameShows Thank you for retweeting re JimLange Were not just about anime trivia here—we honor the legends that inspire us
28090		non-aggressive	0.059	0.941	Yeah we got FIRST place nbd
28091		non-aggressive	0.034	0.966	broke back mountain is such a good movie
28092		non-aggressive	0.023	0.977	I could listen to 90s country all day long and never get tired of it
28093		non-aggressive	0.096	0.904	MYbe one day you will realize
28094		non-aggressive	0.046	0.954	somebody come ober or let me go ober or les do something 😭😭😭😭 i just needa get out this house
28095		non-aggressive	0.046	0.954	Pizza delivery man just drove us to a frat and I said youre going to heaven so he replied with youre going to hell   Oh thx
28096		non-aggressive	0.025	0.975	12 sure fire ways to drive me nuts Jordan 1 to 12 All together In front of me  Niketown Chicago httptcokCroi5lPkv
28097		non-aggressive	0.043	0.957	Im really impressed by the Bulls theyve been playing with heart Still waiting for Rose to get back
28098		non-aggressive	0.055	0.945	I asked my mom if shell take me to purps or nah and she said or nah LOLOL
28099		non-aggressive	0.123	0.877	people these days hypocrites
28100		non-aggressive	0.067	0.933	My piña colada needs more alcohol
28101		non-aggressive	0.082	0.918	GoobyFresh is such a hottie with a tight body realtalk
28102		non-aggressive	0.032	0.968	so much for movies tomorrow
28103		non-aggressive	0.022	0.978	itsinthehole13 treedolanburns her dad was my choir teacher and she was always at school and I was her favorite lol
28104		non-aggressive	0.061	0.939	DeezyHuligan but somebody took the picture wo tellin her dont do it they bad as hell for that lol
28105		non-aggressive	0.058	0.942	Whats the word
28106		non-aggressive	0.104	0.896	alehunna ur missing out
28107		non-aggressive	0.103	0.897	Long ass day at work
28108		non-aggressive	0.045	0.955	Too much happening omg lmao
28109		non-aggressive	0.065	0.935	Half way through Kentucky Floridabound
28110		non-aggressive	0.05	0.95	Therapy x DBC  my song doe lbs 🎧
28111		non-aggressive	0.018	0.982	MirandaaaEisert mine too I love it its so comfy
28112		non-aggressive	0.034	0.966	nothing I do is ever good enough for you
28113		non-aggressive	0.016	0.984	Im at MillersPub Chicago IL w 2 others httptcoEugqHczsTr
28114		non-aggressive	0.081	0.919	Im not one to beg
28115		non-aggressive	0.066	0.934	AmyLovejoy wish you were in Chicago this weekend
28116		non-aggressive	0.035	0.965	KingKaytrilla I did lol
28117		non-aggressive	0.031	0.969	i wish i could actually see my boyfriend whenever i wanted
28118		non-aggressive	0.063	0.937	httptcoD3N7lkwfEC who is This player
28119		non-aggressive	0.043	0.957	franklinandrea So sick of broken promises ✌️
28120		non-aggressive	0.047	0.953	greatest day in the Windy City 😛 httptcoCDdJtZDcXZ
28121		non-aggressive	0.119	0.881	tabiha DOCTORS SAY  IM THE ILLEST  COS IM SUFFERING FROM  R E A L N E S S
28122		non-aggressive	0.068	0.932	ashleygeorge wait whos even staying there omg
28123		non-aggressive	0.023	0.977	have to be at res at 730 tomorrow 😭
28124		non-aggressive	0.029	0.971	Im lame because I work from 1000 to 830 tomorrow
28125		non-aggressive	0.05	0.95	or iceskating 😂 lol
28126		non-aggressive	0.078	0.922	jadapsmith watching you on Arsenio Hall and you are still stunning and beautiful as always
28127		non-aggressive	0.036	0.964	Anyone for black ops 2
28128		non-aggressive	0.045	0.955	I was going through my Instagram and realized that freshman year was pretty cool
28129		non-aggressive	0.023	0.977	NCISNEEDSCOTE1 Well I try I love Michael in any role
28130		non-aggressive	0.096	0.904	Im triffling mixing smh head Dat dark amp white
28131		non-aggressive	0.057	0.943	KatyCowall it takes too long
28132		non-aggressive	0.067	0.933	Why cant I be hip and cool
28133		non-aggressive	0.07	0.93	sonfloresparati ju knowwwwww
28134		non-aggressive	0.059	0.941	I just saw a commercial of people in the desert and immediately got dehydrated Thank The Lord I have a nice cup of Makers to satisfy me
28135		non-aggressive	0.102	0.898	jaycurlz hahaha you would 😂
28136		non-aggressive	0.05	0.95	Would anyone else care to go
28137		non-aggressive	0.052	0.948	tooori They Took The Championship Back From Them
28138		non-aggressive	0.232	0.768	Damn Fuck Winter Sooverit
28139		non-aggressive	0.097	0.903	If you think drama magically disappears when you leave high school youre wrong and Ill cry for ya
28140		non-aggressive	0.073	0.927	Oh dear 😂🙈
28141		non-aggressive	0.082	0.918	Throws me outta my mood
28142		non-aggressive	0.052	0.948	Its a So Far Gone type of night
28143		non-aggressive	0.097	0.903	brandonmoser23 philmiller25 Stover156 Evskie11 thank you That means a lot
28144		non-aggressive	0.173	0.827	some of you are so lucky and you dont even realize it
28145		non-aggressive	0.032	0.968	I love perfvck
28146		non-aggressive	0.043	0.957	Big WIN away from home chicagobulls basketball hittingthecenturymark letsgobulls seered… httptcoji0IkZ1OaZ
28147		non-aggressive	0.091	0.909	Theres nothing more reassuring than knowing the world is more crazier than you are
28148		non-aggressive	0.07	0.93	Uhhhh ohhh 🍆👅💦👌🙌😍 httptcoiYBY9R8813
28149		non-aggressive	0.061	0.939	My life a movie 🎥
28150		non-aggressive	0.06	0.94	Lena Dunham is behind me and Im afraid to talk to her cloudcult  chicago  Lincoln Hall httptco3694IQbhI1
28151		non-aggressive	0.029	0.971	K mom I need a definite answer on a snake now because want
28152		non-aggressive	0.018	0.982	Night 2 of being my moms nurse at their home EXHAUSTED
28153		non-aggressive	0.065	0.935	RIDADDY i miss you rita
28154		non-aggressive	0.456	0.544	Aint shit about girls I like but they pussy other then that yall all useless
28155		non-aggressive	0.069	0.931	KurtPegler KBD33 WMBD31News Congratulations Keita
28156		non-aggressive	0.038	0.962	You Knew You knew i was so deep in love
28157		non-aggressive	0.247	0.753	LandonHoward22 nah cuz who the fuck raves that often
28158		non-aggressive	0.056	0.944	The spit sequence Amazing cinema spacejam2014
28159		non-aggressive	0.048	0.952	KingKaytrilla If only I could have kept it lol
28160		non-aggressive	0.143	0.857	DONE WITH YOU
28161		non-aggressive	0.048	0.952	Right on  “mifarmer My latest for HuffPo Dont Sit for the ISAT  httptcoZPOvsyPpTo IcetheISAT OptOut”
28162		non-aggressive	0.069	0.931	Even the sky cries
28163		non-aggressive	0.075	0.925	MsWendyLynn where ya been
28164		non-aggressive	0.031	0.969	The city is an idea to which each citizen contributes  Happy City by Charles Montgomery  happycity
28165		non-aggressive	0.235	0.765	This man cursing like a mf and just got done talking about god he fake af yall dont go to his church 💯💯💯
28166		non-aggressive	0.073	0.927	cutting ties always hurts
28167		non-aggressive	0.025	0.975	iNeed Somebody To Do My Sew In For My Birthday Any Recommenders
28168		non-aggressive	0.026	0.974	LostWords I wish I could fast forward time to see if its worth it
28169		non-aggressive	0.229	0.771	Have you ever felt like you dont fit in ya me too
28170		non-aggressive	0.095	0.905	BrittanyNosko I love you pretty girl😘 keep your head up😘💖
28171		non-aggressive	0.174	0.826	Draya gotta big ass head
28172		non-aggressive	0.072	0.928	lonely
28173		non-aggressive	0.187	0.813	doubld22 DannyMacTV Don do your daughters realize you say holla hipdad
